note_id,work_order_id,vessel_id,note_ts,author_role,note_text,language,llm_extracted_json,extracted_subsystem,extracted_failure_mode,extracted_parts,uncertainty_score,created_at
note_5486a927cfa6,wo_1428899a3329,ves_7273c7a853d8,2021-10-16T08:00:00,tech,Confirmed hull osmosis blistering. Customer reports water intrusion around transom. Tech observed seacock backing plate wet. Recommended repair osmosis.,en,"{""subsystem"": ""HULL"", ""failure_mode"": ""HULL_OSMOSIS_BLISTERING"", ""parts"": [""HULL_GELCOAT_KIT""], ""severity"": 3, ""confidence"": 0.91}",HULL,HULL_OSMOSIS_BLISTERING,"[""HULL_GELCOAT_KIT""]",0.09,2021-10-16T08:00:00
note_c5e126813dae,wo_1d559cd0cd20,ves_7273c7a853d8,2022-05-19T10:00:00,tech,Confirmed fuel filter clog. Customer reports won’t stay primed. Tech observed pickup screen restricted. Recommended replace filter separator.,en,"{""subsystem"": ""FUEL"", ""failure_mode"": ""FUEL_FILTER_CLOG"", ""parts"": [""FUEL_FILTER_SEPARATOR""], ""severity"": 3, ""confidence"": 0.91}",FUEL,FUEL_FILTER_CLOG,"[""FUEL_FILTER_SEPARATOR""]",0.09,2022-05-19T10:00:00
note_c6b7c01229e5,wo_07ae1a486c3e,ves_7273c7a853d8,2015-06-02T12:00:00,tech,Confirmed fuel line crack. Customer reports water in separator. Tech observed pickup screen restricted. Recommended replace fuel lines.,en,"{""subsystem"": ""FUEL"", ""failure_mode"": ""FUEL_LINE_CRACK"", ""parts"": [""FUEL_LINE_A1_10FT""], ""severity"": 3, ""confidence"": 0.91}",FUEL,FUEL_LINE_CRACK,"[""FUEL_LINE_A1_10FT""]",0.09,2015-06-02T12:00:00
note_634932a4bef5,wo_44989d7621a7,ves_7273c7a853d8,2023-02-12T10:00:00,tech,Confirmed bilge pump fail. Customer reports AC raw-water flow low. Tech observed float switch stuck closed. Recommended replace bilge pump.,en,"{""subsystem"": ""AUX"", ""failure_mode"": ""BILGE_PUMP_FAIL"", ""parts"": [""BILGE_FLOAT_SWITCH""], ""severity"": 3, ""confidence"": 0.91}",AUX,BILGE_PUMP_FAIL,"[""BILGE_FLOAT_SWITCH""]",0.09,2023-02-12T10:00:00
note_4cbd2a6edfb9,wo_7ae05b7590df,ves_4aaa1c2323b1,2014-06-04T16:00:00,tech,Confirmed elec batt failure. Customer reports intermittent helm power. Tech observed continuity good but intermittent under load. Recommended replace batteries.,en,"{""subsystem"": ""ELECTRICAL"", ""failure_mode"": ""ELEC_BATT_FAILURE"", ""parts"": [""BATTERY_AGM_100AH""], ""severity"": 3, ""confidence"": 0.91}",ELECTRICAL,ELEC_BATT_FAILURE,"[""BATTERY_AGM_100AH""]",0.09,2014-06-04T16:00:00
note_aa2945ce9153,wo_f92263725f55,ves_4aaa1c2323b1,2019-07-12T08:00:00,tech,Confirmed fuel injector clog. Customer reports water in separator. Tech observed water present in separator bowl. Recommended clean injectors.,en,"{""subsystem"": ""FUEL"", ""failure_mode"": ""FUEL_INJECTOR_CLOG"", ""parts"": [""INJECTOR_SET_V6""], ""severity"": 3, ""confidence"": 0.91}",FUEL,FUEL_INJECTOR_CLOG,"[""INJECTOR_SET_V6""]",0.09,2019-07-12T08:00:00
note_d3e3871f8fd9,wo_9817a328fba0,ves_4aaa1c2323b1,2020-04-02T15:00:00,tech,"Confirmed ob lower unit water intrusion. Customer reports drive oil milky. Tech observed drive oil milky after drain. Recommended reseal lower unit, replace gear oil.",en,"{""subsystem"": ""PROPULSION"", ""failure_mode"": ""OB_LOWER_UNIT_WATER_INTRUSION"", ""parts"": [""OB_GEARCASE_SEAL_KIT""], ""severity"": 3, ""confidence"": 0.91}",PROPULSION,OB_LOWER_UNIT_WATER_INTRUSION,"[""OB_GEARCASE_SEAL_KIT""]",0.09,2020-04-02T15:00:00
note_dd43096819fc,wo_fe3ac4eb14ba,ves_4aaa1c2323b1,2020-02-01T10:00:00,tech,Confirmed hull deck core rot. Customer reports water intrusion around transom. Tech observed percussion sounding dull on deck panel. Recommended repair deck core.,en,"{""subsystem"": ""HULL"", ""failure_mode"": ""HULL_DECK_CORE_ROT"", ""parts"": [""HULL_GELCOAT_KIT""], ""severity"": 3, ""confidence"": 0.91}",HULL,HULL_DECK_CORE_ROT,"[""HULL_GELCOAT_KIT""]",0.09,2020-02-01T10:00:00
note_19606441383c,wo_a9ba789e19bb,ves_4aaa1c2323b1,2025-04-16T10:00:00,surveyor,Confirmed fuel filter clog. Customer reports water in separator. Tech observed pickup screen restricted. Recommended replace filter separator.,en,"{""subsystem"": ""FUEL"", ""failure_mode"": ""FUEL_FILTER_CLOG"", ""parts"": [""FUEL_FILTER_SEPARATOR""], ""severity"": 3, ""confidence"": 0.91}",FUEL,FUEL_FILTER_CLOG,"[""FUEL_FILTER_SEPARATOR""]",0.09,2025-04-16T10:00:00
note_1f7c7104b3d3,wo_df60ea436a40,ves_4aaa1c2323b1,2022-10-03T11:00:00,tech,Confirmed fuel injector clog. Customer reports poor idle. Tech observed water present in separator bowl. Recommended clean injectors.,en,"{""subsystem"": ""FUEL"", ""failure_mode"": ""FUEL_INJECTOR_CLOG"", ""parts"": [""INJECTOR_SET_V6""], ""severity"": 3, ""confidence"": 0.91}",FUEL,FUEL_INJECTOR_CLOG,"[""INJECTOR_SET_V6""]",0.09,2022-10-03T11:00:00
